DATE,TIME,TEMPERATURE,RH,WIND,WINDDIR,RS,PRESSURE,PRECIP
YYYY-MM-DD,HH:MM,C,%,m s-1,deg,W m-2,mbar,mm
2020-01-01,13:20,28.44,69.98,4.207,87.2,595.2,1016,0
2020-01-01,13:30,28.67,68.91,4.019,83.9,608.8,1015,0
2020-01-01,13:40,28.56,68.66,3.773,75.79,562.5,1015,0
2020-01-01,13:50,28.67,69.1,4.113,90.1,624.1,1015,0
2020-01-01,14:00,28.72,69.18,3.952,82.3,562.9,1015,0
2020-01-01,14:10,28.44,69.15,4.238,80.4,591.7,1015,0
2020-01-01,14:20,28.5,69.23,4.032,86.5,457.1,1015,0
2020-01-01,14:30,28.44,69.26,3.489,77.56,503.3,1015,0
2020-01-01,14:40,28.61,69.49,3.648,77.89,521.6,1015,0
2020-01-01,14:50,28.5,69.71,3.389,87.4,491.1,1015,0
2020-01-01,15:00,28.78,69.49,3.253,66.52,521.1,1015,0
2020-01-01,15:10,28.44,70.09,4.028,79.2,415.2,1015,0
2020-01-01,15:20,28.06,71.96,3.458,73.68,213.5,1015,0
2020-01-01,15:30,28.11,70.47,4.001,81.4,331.7,1015,0
2020-01-01,15:40,28.06,69.71,3.566,85,313.4,1015,0
2020-01-01,15:50,28.33,70.15,3.214,87.5,333.4,1015,0
2020-01-01,16:00,28.17,71.11,3.576,77.85,316.3,1015,0
2020-01-01,16:10,28.28,70.67,3.314,87.2,329.6,1015,0
2020-01-01,16:20,28.06,70.22,3.885,73.53,248.2,1015,0
2020-01-01,16:30,28,70.3,3.544,83.7,229.2,1015,0
2020-01-01,16:40,28.06,70.28,3.186,81.8,237.1,1015,0
2020-01-01,16:50,28.33,71.27,2.714,73.49,274.4,1015,0
2020-01-01,17:00,28.17,72.59,2.902,72,203.9,1015,0
2020-01-01,17:10,27.89,72.66,3.089,80.1,159.8,1015,0
2020-01-01,17:20,27.72,72.56,2.972,76.61,123.6,1015,0
2020-01-01,17:30,27.56,73.33,2.657,78.55,62.25,1015,0
2020-01-01,17:40,27.22,73.63,3.232,70.38,41.26,1015,0
2020-01-01,17:50,27.17,74.05,2.591,72.65,23.18,1015,0
2020-01-01,18:00,27.06,74.5,2.615,76.42,6.809,1015,0
2020-01-01,18:10,26.94,74.8,2.588,72.78,2.944,1015,0
2020-01-01,18:20,26.83,75.29,2.138,68.68,0.125,1016,0
2020-01-01,18:30,26.78,75.77,2.917,72.02,0,1016,0
2020-01-01,18:40,26.67,75.91,2.466,67.34,0,1016,0
2020-01-01,18:50,26.63,76.02,2.491,66.97,0,1016,0
2020-01-01,19:00,26.67,76.09,2.699,66.83,0,1016,0
2020-01-01,19:10,26.63,76.22,2.417,69.65,0,1016,0
2020-01-01,19:20,26.64,76.36,2.496,73.66,0,1016,0
2020-01-01,19:30,26.72,76.85,2.455,70.66,0,1016,0
2020-01-01,19:40,26.72,77.43,2.322,62.88,0,1016,0
2020-01-01,19:50,26.64,77.67,2.308,67.86,0,1016,0
2020-01-01,20:00,26.57,77.65,2.568,69.48,0,1016,0
2020-01-01,20:10,26.49,77.42,2.188,67.31,0,1017,0
2020-01-01,20:20,26.55,77.63,2.187,73.4,0,1017,0
2020-01-01,20:30,26.51,78.08,2.244,68.56,0,1017,0
2020-01-01,20:40,26.42,78.48,2.39,68.51,0,1017,0
2020-01-01,20:50,26.44,78.37,2.423,72.97,0,1017,0
2020-01-01,21:00,26.35,78.47,2.506,70.82,0,1017,0
2020-01-01,21:10,26.37,78.6,2.527,69.34,0,1017,0
2020-01-01,21:20,26.42,78.55,2.85,70.53,0,1017,0
2020-01-01,21:30,26.36,78.73,2.477,67.56,0,1017,0
2020-01-01,21:40,26.3,78.74,2.732,73.05,0,1017,0
2020-01-01,21:50,26.37,78.68,2.699,71.4,0,1017,0
2020-01-01,22:00,26.49,78.76,3.184,74.6,0,1017,0
2020-01-01,22:10,26.15,79.77,2.49,67.74,0,1017,0
2020-01-01,22:20,26.21,80.8,2.388,69.09,0,1017,0
2020-01-01,22:30,26.21,80.7,3.102,72.52,0,1017,0
2020-01-01,22:40,26.31,79.96,2.982,66.45,0,1017,0
2020-01-01,22:50,26.32,79.91,2.992,67.34,0,1017,0
2020-01-01,23:00,26.34,79.6,3.181,69.39,0,1017,0
2020-01-01,23:10,26.24,79.86,2.757,70.07,0,1017,0
2020-01-01,23:20,26.15,80.2,2.364,67.87,0,1017,0
2020-01-01,23:30,26.2,80.3,2.997,68.93,0,1017,0
2020-01-01,23:40,26.23,80.1,2.913,69.75,0,1017,0
